llm,version,run,success,execution_time,cpu_avg,cpu_max,ram_avg_gb,ram_max_gb,gpu_avg,gpu_max,test_accuracy,f1_score,val_loss
gpt,v1,1,True,101.85679960250854,67.65,100.0,2.617881774902344,2.723663330078125,23.0,45.0,0.9805,0.9805,0.0513
gpt,v2,1,True,72.51270246505737,68.21428571428571,99.0,2.5538809640066966,2.682781219482422,32.0,46.0,0.9688,0.968,0.0665
gpt,v1,1,True,52.73880529403687,67.28333333333333,100.0,2.365289052327474,2.691082000732422,12.833333333333334,46.0,0.9102,0.8978,0.3186
gemini,v1,1,True,441.06906628608704,98.64047619047618,100.0,2.581262951805478,2.653018951416016,11.80952380952381,42.0,0.96875,0.9696969696969696,0.1376777089800429
grok,v1,2,True,154.1837079524994,94.64,100.0,2.212926737467448,2.319805145263672,32.86666666666667,85.0,,,0.1117
gpt,v1,2,True,87.9915120601654,64.05555555555556,100.0,2.156837887234158,2.2695388793945312,27.77777777777778,46.0,0.9805,0.9799,0.0765
gpt,v2,2,True,130.14205050468445,63.30769230769231,99.0,2.2023966862605167,2.28857421875,36.30769230769231,56.0,,,0.0062
gpt,v1,2,True,363.5665295124054,68.2,100.0,2.242215074811663,2.3046913146972656,23.51428571428572,47.0,,,0.0042
grok,v1,3,True,217.098064661026,95.66666666666669,100.0,2.2610228402274,2.3533477783203125,33.095238095238095,87.0,,,0.1078
gpt,v2,3,True,116.9203073978424,66.625,100.0,2.203383763631185,2.2941551208496094,27.08333333333333,57.0,,,0.0037
gpt,v1,3,True,67.18955373764038,73.82857142857142,100.0,2.1479737418038503,2.3055496215820312,32.42857142857143,45.0,0.957,0.957,0.0975
gpt,v2,3,True,85.94528388977051,61.55555555555556,99.0,2.1674185858832464,2.2808609008789062,25.33333333333333,45.0,0.9648,0.9641,0.1921
gpt,v2,4,True,231.4942672252655,96.12727272727274,100.0,2.262290607799183,2.372058868408203,29.272727272727277,87.0,,,0.0081
gpt,v1,4,True,171.47268533706665,65.51176470588236,100.0,2.218818664550781,2.297348022460937,27.88235294117647,47.0,,,0.0044
grok,v1,5,True,251.28571367263797,95.99583333333334,100.0,2.2732790311177573,2.3733482360839844,29.125,75.0,,,0.2251
gpt,v1,5,True,288.64099979400635,94.83214285714288,100.0,2.278136389596121,2.383895874023437,38.285714285714285,91.0,,,0.0027
gpt,v2,5,True,67.25291872024536,67.58571428571429,100.0,2.13013185773577,2.27457046508789,28.142857142857142,46.0,0.918,0.9083,0.1097
gpt,v1,6,True,81.90618896484375,91.7125,100.0,2.221618175506592,2.417461395263672,29.75,78.0,0.9609,0.9583,0.0458
gpt,v1,6,True,67.92531108856201,72.22857142857143,99.0,2.16958999633789,2.3069610595703125,19.142857142857142,45.0,0.9844,0.9839,0.1158
grok,v2,6,True,346.4935040473938,96.79090909090908,100.0,2.211643681381688,2.2773475646972656,45.36363636363637,90.0,0.8125,0.8111,0.6502
claude,v3,6,True,236.2181203365326,66.67826086956521,100.0,2.752212026844854,3.1118698120117188,37.56521739130435,100.0,0.5352,0.5333,0.7007
grok,v1,7,True,237.54521822929385,95.94782608695652,100.0,2.254296012546705,2.3311805725097656,22.26086956521739,70.0,,,0.1682
gpt,v2,7,True,168.32144784927368,68.23125,100.0,2.2256574630737305,2.3146209716796875,30.9375,46.0,,,0.0361
gpt,v1,7,True,352.05259227752686,71.37352941176471,100.0,2.233696096083697,2.277599334716797,33.35294117647059,62.0,,,0.012
gpt,v2,7,True,99.8309450149536,72.9,100.0,2.208340072631836,2.3255653381347656,25.0,46.0,0.9805,0.9796,0.0604
gpt,v1,8,True,288.3511290550232,96.16428571428573,100.0,2.3122520446777344,2.399677276611328,40.17857142857143,87.0,,,0.0027
gpt,v1,8,True,190.3366150856018,68.15789473684211,100.0,2.1838400991339437,2.304241180419922,25.26315789473684,61.0,,,0.0113
claude,v3,8,True,229.0103595256805,68.55454545454546,100.0,2.6793091513893823,3.1183090209960938,37.22727272727273,99.0,0.5391,0.6845,0.6925
gpt,v2,9,True,68.26956987380981,67.77142857142857,100.0,2.1571006774902344,2.2957077026367188,21.142857142857142,45.0,0.957,0.957,0.0908
gpt,v1,9,True,120.74402976036072,65.00833333333334,100.0,2.213989575703939,2.3055992126464844,27.5,57.0,0.9609,0.9609,0.0737
claude,v3,9,True,892.6084198951721,67.1470588235294,100.0,3.089951818129596,3.589344024658203,4.741176470588235,33.0,0.96875,0.969925,0.5944
grok,v1,9,True,420.8566074371338,85.8925,100.0,2.2114002227783205,2.4998512268066406,27.5,91.0,,,0.6557
gpt,v2,10,True,269.2061471939087,67.36538461538461,100.0,2.2671639369084287,2.32763671875,26.884615384615383,45.0,,,0.0006
gpt,v1,10,True,286.9131119251251,91.81428571428572,100.0,2.2821298326764787,2.38370132446289,27.25,92.0,,,0.0017
gpt,v2,10,True,160.28760361671448,67.23125,100.0,2.23403000831604,2.3082008361816406,27.0625,51.0,0.9844,0.9844,0.0514
claude,v3,10,True,228.08365035057068,70.32727272727273,100.0,2.732359972867098,3.1487770080566406,29.59090909090909,98.0,,,0.7178
